Effect,FlightMonth,Damage,Engines,FlightPhase,ConditionsPrecipitation,WildlifeSize,ConditionsSky,PilotWarned,PeopleInjured,IsAircraftLarge?,IsEngineShutDown,IsNone,IsAbortedTake-off,IsPrecautionaryLanding,IsOther,NumberStruck,AltitudeBin
None,7,No damage,2,Climb,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,4-5,11-50
None,7,No damage,2,Approach,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,4-5,51-100
None,7,No damage,2,Climb,None,Small,Some Cloud,Y,0,Yes,No,Yes,No,No,No,6-7,51-100
None,7,No damage,2,Climb,None,Small,No Cloud,Y,0,Yes,No,Yes,No,No,No,2-3,1-10
None,7,No damage,2,Landing Roll,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,2-3,0
None,7,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,8-9,0
None,7,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,8-9,0
None,7,No damage,2,Landing Roll,None,Medium,Some Cloud,Y,0,Yes,No,Yes,No,No,No,2-3,0
None,7,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,6-7,0
None,7,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,4-5,51-100
None,7,No damage,1,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,4-5,51-100
None,7,No damage,2,Landing Roll,None,Medium,Overcast,Y,0,Yes,No,Yes,No,No,No,6-7,0
None,7,No damage,2,Take-off run,Rain,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,2-3,0
None,7,No damage,2,Climb,None,Medium,No Cloud,N,0,Yes,No,Yes,No,No,No,2-3,11-50
None,7,No damage,2,Landing Roll,Rain,Small,Overcast,N,0,Yes,No,Yes,No,No,No,4-5,0
Aborted Take-off,7,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No,No,No,Yes,No,No,4-5,0
None,7,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,6-7,0
None,7,No damage,2,Climb,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,8-9,101-500
None,7,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,8-9,0
None,7,No damage,2,Approach,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,6-7,101-500
None,7,No damage,2,Climb,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,8-9,11-50
None,7,No damage,2,Take-off run,None,Small,Overcast,N,0,No,No,Yes,No,No,No,4-5,0
None,7,No damage,2,Approach,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,4-5,11-50
None,7,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,8-9,0
None,8,No damage,2,Landing Roll,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,8-9,0
None,8,No damage,2,Landing Roll,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,10-100,0
None,8,No damage,2,Approach,None,Small,Overcast,Y,0,Yes,No,Yes,No,No,No,6-7,51-100
Aborted Take-off,8,Caused damage,2,Take-off run,None,Small,Some Cloud,N,0,Yes,No,No,Yes,No,No,8-9,0
None,8,No damage,2,Take-off run,Rain,Small,Overcast,N,0,No,No,Yes,No,No,No,6-7,0
None,8,No damage,2,Landing Roll,Rain,Small,Overcast,Y,0,Yes,No,Yes,No,No,No,6-7,0
Aborted Take-off,8,Caused damage,2,Take-off run,None,Small,No Cloud,N,0,No,No,No,Yes,No,No,10-100,0
None,8,No damage,2,Landing Roll,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,6-7,0
None,8,No damage,2,Approach,Rain,Medium,Some Cloud,N,0,Yes,No,Yes,No,No,No,4-5,51-100
None,8,No damage,2,Landing Roll,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,6-7,0
Aborted Take-off,8,No damage,3,Take-off run,None,Large,Some Cloud,N,0,No,No,No,Yes,No,No,10-100,0
None,8,No damage,1,Climb,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,4-5,101-500
None,8,No damage,1,Approach,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,6-7,51-100
None,8,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,4-5,2001-3000
None,8,No damage,1,Landing Roll,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,10-100,0
None,8,No damage,2,Landing Roll,None,Small,No Cloud,N,0,Yes,No,Yes,No,No,No,10-100,0
None,8,No damage,2,Approach,None,Small,Some Cloud,N,0,Yes,No,Yes,No,No,No,4-5,51-100
None,8,No damage,2,Approach,None,Small,Some Cloud,N,0,Yes,No,Yes,No,No,No,6-7,11-50
None,8,No damage,3,Landing Roll,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,6-7,0
None,8,No damage,2,Climb,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,8-9,11-50
Precautionary Landing,8,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No,No,No,No,Yes,No,6-7,0
None,8,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,6-7,1-10
None,8,No damage,2,Approach,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,6-7,11-50
Aborted Take-off,8,Caused damage,4,Take-off run,None,Large,Overcast,Y,0,No,No,No,Yes,No,No,2-3,0
Aborted Take-off,8,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No,No,No,Yes,No,No,2-3,0
Aborted Take-off,8,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No,No,No,Yes,No,No,8-9,0
None,8,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,8-9,1-10
None,8,No damage,2,Climb,None,Small,No Cloud,Y,0,Yes,No,Yes,No,No,No,8-9,101-500
None,8,No damage,2,Approach,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,10-100,11-50
None,8,No damage,2,Take-off run,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,4-5,0
None,8,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,4-5,0
None,8,No damage,2,Approach,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,8-9,11-50
None,8,No damage,2,Landing Roll,None,Medium,Overcast,N,0,No,No,Yes,No,No,No,2-3,0
None,9,No damage,3,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,6-7,501-1000
None,9,No damage,2,Approach,Fog,Small,No Cloud,Y,0,Yes,No,Yes,No,No,No,6-7,11-50
None,9,No damage,3,Landing Roll,Fog,Small,Overcast,N,0,No,No,Yes,No,No,No,10-100,0
None,9,No damage,4,Take-off run,Rain,Small,Overcast,N,0,No,No,Yes,No,No,No,4-5,0
None,9,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,4-5,0
None,9,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,2-3,0
None,9,No damage,2,Approach,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,8-9,101-500
Aborted Take-off,9,No damage,2,Take-off run,None,Small,Overcast,N,0,No,No,No,Yes,No,No,6-7,0
None,9,No damage,2,Approach,None,Small,Some Cloud,Y,0,Yes,No,Yes,No,No,No,8-9,11-50
None,9,No damage,2,Approach,None,Small,No Cloud,Y,0,Yes,No,Yes,No,No,No,2-3,101-500
None,9,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,4-5,0
None,9,No damage,2,Landing Roll,None,Medium,Some Cloud,Y,0,No,No,Yes,No,No,No,2-3,0
None,9,No damage,2,Approach,None,Small,No Cloud,N,0,Yes,No,Yes,No,No,No,6-7,11-50
None,9,No damage,2,Approach,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,4-5,2001-3000
None,9,No damage,2,Landing Roll,None,Large,No Cloud,N,0,No,No,Yes,No,No,No,6-7,0
None,9,No damage,3,Take-off run,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,6-7,0
None,9,No damage,2,Approach,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,2-3,2001-3000
None,9,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,10-100,101-500
None,9,No damage,2,Approach,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,10-100,51-100
None,9,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,4-5,0
None,9,No damage,2,Approach,None,Large,No Cloud,N,0,Yes,No,Yes,No,No,No,4-5,51-100
None,9,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,Yes,No,Yes,No,No,No,2-3,0
None,9,Caused damage,2,Approach,None,Large,No Cloud,N,0,No,No,Yes,No,No,No,2-3,3001-4000
None,9,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,10-100,51-100
Precautionary Landing,9,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,Yes,No,No,No,Yes,No,2-3,0
None,9,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,6-7,0
None,9,No damage,2,Approach,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,2-3,2001-3000
None,9,No damage,2,Take-off run,None,Large,No Cloud,Y,0,No,No,Yes,No,No,No,6-7,0
None,9,No damage,3,Approach,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,4-5,1001-2000
None,10,No damage,3,Approach,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,8-9,101-500
None,10,No damage,2,Approach,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,8-9,11-50
None,10,No damage,2,Approach,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,2-3,51-100
None,10,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,8-9,1001-2000
None,10,No damage,2,Take-off run,Rain,Small,Overcast,Y,0,No,No,Yes,No,No,No,8-9,0
None,10,No damage,2,Landing Roll,Rain,Medium,Overcast,Y,0,No,No,Yes,No,No,No,2-3,0
None,10,No damage,2,Approach,Fog,Medium,Some Cloud,Y,0,No,No,Yes,No,No,No,6-7,101-500
None,10,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,10-100,101-500
None,10,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,2-3,0
None,10,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,Yes,No,Yes,No,No,No,4-5,0
None,10,Caused damage,3,Climb,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,4-5,1-10
Precautionary Landing,10,Caused damage,2,Take-off run,None,Medium,No Cloud,N,0,Yes,No,No,No,Yes,No,4-5,0
None,10,Caused damage,2,Approach,None,Medium,No Cloud,N,0,Yes,No,Yes,No,No,No,8-9,1001-2000
None,10,No damage,2,Approach,Fog,Small,Overcast,N,0,No,No,Yes,No,No,No,6-7,101-500
Aborted Take-off,10,No damage,2,Take-off run,Rain,Small,Overcast,Y,0,No,No,No,Yes,No,No,4-5,0
None,10,No damage,2,Climb,None,Medium,No Cloud,N,0,Yes,No,Yes,No,No,No,6-7,3001-4000
None,10,No damage,2,Approach,None,Small,Overcast,N,0,No,No,Yes,No,No,No,2-3,101-500
None,10,No damage,2,Approach,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,4-5,1001-2000
Precautionary Landing,10,No damage,1,Climb,None,Large,No Cloud,N,0,No,No,No,No,Yes,No,2-3,501-1000
None,10,No damage,2,Take-off run,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,4-5,0
None,10,No damage,3,Climb,None,Small,Overcast,Y,0,No,No,Yes,No,No,No,2-3,11-50
None,10,No damage,2,Take-off run,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,2-3,0
Precautionary Landing,11,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No,No,No,No,Yes,No,8-9,0
None,11,No damage,2,Approach,None,Small,Some Cloud,N,0,No,No,Yes,No,No,No,8-9,3001-4000
None,11,No damage,2,Take-off run,None,Small,Overcast,Y,0,No,No,Yes,No,No,No,8-9,0
None,11,Caused damage,2,Approach,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,8-9,1001-2000
None,11,No damage,2,Approach,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,6-7,3001-4000
None,11,No damage,2,Approach,Rain,Large,Overcast,N,0,Yes,No,Yes,No,No,No,4-5,11-50
None,11,No damage,2,Take-off run,Rain,Small,Overcast,N,0,No,No,Yes,No,No,No,6-7,0
None,11,Caused damage,2,Descent,None,Medium,Overcast,Y,0,No,No,Yes,No,No,No,8-9,8001-9000
None,11,No damage,3,Take-off run,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,8-9,0
None,11,No damage,2,Approach,Fog,Small,Overcast,N,0,Yes,No,Yes,No,No,No,6-7,11-50
None,11,No damage,2,Climb,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,6-7,11-50
None,11,No damage,2,Landing Roll,None,Small,No Cloud,N,0,Yes,No,Yes,No,No,No,4-5,0
Precautionary Landing,11,Caused damage,2,Climb,Snow,Large,Overcast,N,0,No,No,No,No,Yes,No,2-3,1001-2000
None,11,No damage,,Approach,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,4-5,101-500
None,11,No damage,2,Climb,None,Small,No Cloud,Y,0,No,No,Yes,No,No,No,4-5,51-100
None,11,No damage,3,Climb,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,4-5,101-500
Precautionary Landing,11,Caused damage,2,Climb,None,Large,No Cloud,Y,0,Yes,No,No,No,Yes,No,4-5,101-500
None,11,No damage,2,Approach,None,Small,Overcast,Y,0,No,No,Yes,No,No,No,8-9,11-50
None,11,No damage,2,Landing Roll,None,Small,Overcast,N,0,Yes,No,Yes,No,No,No,2-3,0
None,11,No damage,,Approach,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,8-9,1001-2000
Aborted Take-off,12,No damage,2,Take-off run,None,Small,No Cloud,N,0,Yes,No,No,Yes,No,No,8-9,0
None,12,No damage,2,Climb,None,Medium,Some Cloud,N,0,No,No,Yes,No,No,No,4-5,11-50
None,12,No damage,2,Landing Roll,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,4-5,0
Precautionary Landing,12,Caused damage,,Climb,None,Medium,No Cloud,Y,0,No,No,No,No,Yes,No,2-3,101-500
Precautionary Landing,12,Caused damage,2,Climb,Rain,Medium,Overcast,N,0,No,No,No,No,Yes,No,4-5,101-500
None,12,Caused damage,2,Approach,Snow,Large,Some Cloud,N,0,Yes,No,Yes,No,No,No,6-7,11-50
None,12,No damage,2,Landing Roll,None,Large,Some Cloud,N,0,No,No,Yes,No,No,No,2-3,0
None,12,No damage,2,Landing Roll,Rain,Medium,Overcast,N,0,No,No,Yes,No,No,No,6-7,0
None,12,No damage,2,Approach,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,4-5,101-500
None,12,No damage,2,Climb,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,8-9,11-50
None,1,No damage,2,Take-off run,None,Small,No Cloud,N,0,No,No,Yes,No,No,No,8-9,0
Engine Shut Down,1,Caused damage,2,Climb,None,Large,Some Cloud,Y,0,Yes,Yes,No,No,No,No,2-3,51-100
None,1,No damage,2,Approach,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,2-3,1001-2000
None,1,No damage,2,Landing Roll,None,Small,Overcast,N,0,No,No,Yes,No,No,No,2-3,0
None,1,No damage,2,Approach,Rain,Medium,Some Cloud,N,0,No,No,Yes,No,No,No,10-100,101-500
Other,1,Caused damage,2,Landing Roll,None,Large,No Cloud,N,2,No,No,No,No,No,Yes,2-3,0
None,1,No damage,2,Approach,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,10-100,11-50
None,1,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,Yes,No,Yes,No,No,No,4-5,0
None,1,No damage,2,Approach,None,Medium,No Cloud,Y,0,Yes,No,Yes,No,No,No,2-3,101-500
None,1,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,4-5,0
Precautionary Landing,1,No damage,,Climb,Rain,Medium,Some Cloud,Y,0,No,No,No,No,Yes,No,2-3,501-1000
None,1,No damage,2,Climb,None,Medium,No Cloud,Y,0,Yes,No,Yes,No,No,No,8-9,1001-2000
None,1,No damage,2,Approach,Rain,Medium,Overcast,Y,0,Yes,No,Yes,No,No,No,6-7,51-100
None,1,No damage,4,Approach,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,6-7,51-100
None,1,No damage,2,Approach,None,Small,No Cloud,Y,0,Yes,No,Yes,No,No,No,4-5,11-50
None,1,No damage,,Approach,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,10-100,101-500
None,1,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No,No,Yes,No,No,No,8-9,0
None,2,No damage,2,Approach,None,Small,Overcast,N,0,No,No,Yes,No,No,No,6-7,101-500
None,2,Caused damage,2,Approach,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,2-3,1-10
None,2,No damage,2,Approach,None,Medium,No Cloud,N,0,No,No,Yes,No,No,No,4-5,51-100
None,2,No damage,,Take-off run,None,Medium,No Cloud,Y,0,No,No,Yes,No,No,No,8-9,0
None,2,No damage,2,Approach,None,Medium,No Cloud,Y,0,Yes,No,Yes,No,No,No,4-5,51-100
None,2,Caused damage,1,Climb,None,Large,Some Cloud,Y,0,No,No,Yes,No,No,No,8-9,501-1000
None,2,No damage,2,Take-off run,None,Small,Overcast,Y,0,No,No,Yes,No,No,No,8-9,0
None,2,No damage,2,Landing Roll,Snow,Small,Overcast,Y,0,No,No,Yes,No,No,No,8-9,0
