AltitudeBin,NumberStruck,Effect,FlightMonth,Damage,Engines,FlightPhase,ConditionsPrecipitation,WildlifeSize,ConditionsSky,PilotWarned,PeopleInjured,IsAircraftLarge?
"(400, 600]",2 to 10,None,6,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Take-off run,None,Small,No Cloud,N,0,Yes
"(30, 50]",2 to 10,None,6,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,Precautionary Landing,6,No damage,2,Take-off run,None,Medium,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,Rain,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,Yes
"(10, 30]",2 to 10,None,6,No damage,1,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(5000, 18000]",2 to 10,None,6,No damage,3,Climb,None,Medium,Overcast,N,0,No
"(-1, 0]",2 to 10,None,6,Caused damage,2,Landing Roll,None,Medium,Some Cloud,N,0,No
"(50, 100]",2 to 10,Precautionary Landing,6,Caused damage,2,Climb,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,Aborted Take-off,6,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,Aborted Take-off,6,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No
"(10, 30]",2 to 10,None,7,No damage,2,Climb,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,None,7,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(50, 100]",2 to 10,None,7,No damage,2,Climb,None,Small,Some Cloud,Y,0,Yes
"(0, 10]",2 to 10,None,7,No damage,2,Climb,None,Small,No Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Medium,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Medium,Some Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(50, 100]",2 to 10,None,7,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,None,7,No damage,1,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Medium,Overcast,Y,0,Yes
"(-1, 0]",2 to 10,None,7,No damage,2,Take-off run,Rain,Small,Some Cloud,Y,0,No
"(10, 30]",2 to 10,None,7,No damage,2,Climb,None,Medium,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,Rain,Small,Overcast,N,0,Yes
"(-1, 0]",2 to 10,Aborted Take-off,7,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No
"(200, 400]",2 to 10,None,7,No damage,2,Climb,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No
"(100, 200]",2 to 10,None,7,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(30, 50]",2 to 10,None,7,No damage,2,Climb,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Take-off run,None,Small,Overcast,N,0,No
"(30, 50]",2 to 10,None,7,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,None,8,No damage,2,Approach,None,Small,Overcast,Y,0,Yes
"(-1, 0]",2 to 10,Aborted Take-off,8,Caused damage,2,Take-off run,None,Small,Some Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,8,No damage,2,Take-off run,Rain,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,Rain,Small,Overcast,Y,0,Yes
"(-1, 0]",2 to 10,Aborted Take-off,8,Caused damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Medium,No Cloud,Y,0,No
"(50, 100]",2 to 10,None,8,No damage,2,Approach,Rain,Medium,Some Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,Aborted Take-off,8,No damage,3,Take-off run,None,Large,Some Cloud,N,0,No
"(100, 200]",2 to 10,None,8,No damage,1,Climb,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,None,8,No damage,1,Approach,None,Small,Some Cloud,N,0,No
"(2000, 3000]",2 to 10,None,8,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,1,Landing Roll,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,No Cloud,N,0,Yes
"(50, 100]",2 to 10,None,8,No damage,2,Approach,None,Small,Some Cloud,N,0,Yes
"(10, 30]",2 to 10,None,8,No damage,2,Approach,None,Small,Some Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,8,No damage,3,Landing Roll,None,Small,Some Cloud,Y,0,No
"(30, 50]",2 to 10,None,8,No damage,2,Climb,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,Precautionary Landing,8,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No
"(0, 10]",2 to 10,None,8,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(10, 30]",2 to 10,None,8,No damage,2,Approach,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,Aborted Take-off,8,Caused damage,4,Take-off run,None,Large,Overcast,Y,0,No
"(-1, 0]",2 to 10,Aborted Take-off,8,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,Aborted Take-off,8,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No
"(0, 10]",2 to 10,None,8,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(200, 400]",2 to 10,None,8,No damage,2,Climb,None,Small,No Cloud,Y,0,Yes
"(10, 30]",2 to 10,None,8,No damage,2,Approach,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Take-off run,None,Medium,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(30, 50]",2 to 10,None,8,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Medium,Overcast,N,0,No
"(600, 1000]",2 to 10,None,9,No damage,3,Approach,None,Small,No Cloud,N,0,No
"(10, 30]",2 to 10,None,9,No damage,2,Approach,Fog,Small,No Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,9,No damage,3,Landing Roll,Fog,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,None,9,No damage,4,Take-off run,Rain,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(400, 600]",2 to 10,None,9,No damage,2,Approach,None,Medium,No Cloud,Y,0,No
"(-1, 0]",2 to 10,Aborted Take-off,9,No damage,2,Take-off run,None,Small,Overcast,N,0,No
"(10, 30]",2 to 10,None,9,No damage,2,Approach,None,Small,Some Cloud,Y,0,Yes
"(100, 200]",2 to 10,None,9,No damage,2,Approach,None,Small,No Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,None,Medium,Some Cloud,Y,0,No
"(30, 50]",2 to 10,None,9,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(2000, 3000]",2 to 10,None,9,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,None,Large,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,9,No damage,3,Take-off run,None,Small,Some Cloud,Y,0,No
"(2000, 3000]",2 to 10,None,9,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(100, 200]",2 to 10,None,9,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,None,9,No damage,2,Approach,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(50, 100]",2 to 10,None,9,No damage,2,Approach,None,Large,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,Yes
"(3000, 5000]",2 to 10,None,9,Caused damage,2,Approach,None,Large,No Cloud,N,0,No
"(50, 100]",2 to 10,None,9,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,Precautionary Landing,9,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No
"(2000, 3000]",2 to 10,None,9,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Take-off run,None,Large,No Cloud,Y,0,No
"(1000, 2000]",2 to 10,None,9,No damage,3,Approach,None,Medium,No Cloud,N,0,No
"(100, 200]",2 to 10,None,10,No damage,3,Approach,None,Small,Some Cloud,Y,0,No
"(10, 30]",2 to 10,None,10,No damage,2,Approach,None,Medium,No Cloud,N,0,No
"(50, 100]",2 to 10,None,10,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(1000, 2000]",2 to 10,None,10,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Take-off run,Rain,Small,Overcast,Y,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,Rain,Medium,Overcast,Y,0,No
"(200, 400]",2 to 10,None,10,No damage,2,Approach,Fog,Medium,Some Cloud,Y,0,No
"(200, 400]",2 to 10,None,10,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,Yes
"(0, 10]",2 to 10,None,10,Caused damage,3,Climb,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,Precautionary Landing,10,Caused damage,2,Take-off run,None,Medium,No Cloud,N,0,Yes
"(1000, 2000]",2 to 10,None,10,Caused damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(100, 200]",2 to 10,None,10,No damage,2,Approach,Fog,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,Aborted Take-off,10,No damage,2,Take-off run,Rain,Small,Overcast,Y,0,No
"(3000, 5000]",2 to 10,None,10,No damage,2,Climb,None,Medium,No Cloud,N,0,Yes
"(200, 400]",2 to 10,None,10,No damage,2,Approach,None,Small,Overcast,N,0,No
"(1000, 2000]",2 to 10,None,10,No damage,2,Approach,None,Medium,No Cloud,Y,0,No
"(600, 1000]",2 to 10,Precautionary Landing,10,No damage,1,Climb,None,Large,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Take-off run,None,Medium,No Cloud,N,0,No
"(30, 50]",2 to 10,None,10,No damage,3,Climb,None,Small,Overcast,Y,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,Precautionary Landing,11,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No
"(3000, 5000]",2 to 10,None,11,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,11,No damage,2,Take-off run,None,Small,Overcast,Y,0,No
"(1000, 2000]",2 to 10,None,11,Caused damage,2,Approach,None,Medium,No Cloud,Y,0,No
"(3000, 5000]",2 to 10,None,11,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(30, 50]",2 to 10,None,11,No damage,2,Approach,Rain,Large,Overcast,N,0,Yes
"(-1, 0]",2 to 10,None,11,No damage,2,Take-off run,Rain,Small,Overcast,N,0,No
"(5000, 18000]",2 to 10,None,11,Caused damage,2,Descent,None,Medium,Overcast,Y,0,No
"(-1, 0]",2 to 10,None,11,No damage,3,Take-off run,None,Small,No Cloud,N,0,No
"(10, 30]",2 to 10,None,11,No damage,2,Approach,Fog,Small,Overcast,N,0,Yes
"(30, 50]",2 to 10,None,11,No damage,2,Climb,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,11,No damage,2,Landing Roll,None,Small,No Cloud,N,0,Yes
"(1000, 2000]",2 to 10,Precautionary Landing,11,Caused damage,2,Climb,Snow,Large,Overcast,N,0,No
"(400, 600]",2 to 10,None,11,No damage,,Approach,None,Small,No Cloud,Y,0,No
"(50, 100]",2 to 10,None,11,No damage,2,Climb,None,Small,No Cloud,Y,0,No
"(200, 400]",2 to 10,None,11,No damage,3,Climb,None,Small,No Cloud,N,0,No
"(200, 400]",2 to 10,Precautionary Landing,11,Caused damage,2,Climb,None,Large,No Cloud,Y,0,Yes
"(10, 30]",2 to 10,None,11,No damage,2,Approach,None,Small,Overcast,Y,0,No
"(-1, 0]",2 to 10,None,11,No damage,2,Landing Roll,None,Small,Overcast,N,0,Yes
"(1000, 2000]",2 to 10,None,11,No damage,,Approach,None,Medium,No Cloud,Y,0,No
"(-1, 0]",2 to 10,Aborted Take-off,12,No damage,2,Take-off run,None,Small,No Cloud,N,0,Yes
"(10, 30]",2 to 10,None,12,No damage,2,Climb,None,Medium,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,12,No damage,2,Landing Roll,None,Medium,No Cloud,N,0,No
"(400, 600]",2 to 10,Precautionary Landing,12,Caused damage,,Climb,None,Medium,No Cloud,Y,0,No
"(200, 400]",2 to 10,Precautionary Landing,12,Caused damage,2,Climb,Rain,Medium,Overcast,N,0,No
"(30, 50]",2 to 10,None,12,Caused damage,2,Approach,Snow,Large,Some Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,12,No damage,2,Landing Roll,None,Large,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,12,No damage,2,Landing Roll,Rain,Medium,Overcast,N,0,No
"(400, 600]",2 to 10,None,12,No damage,2,Approach,None,Medium,No Cloud,N,0,No
"(10, 30]",2 to 10,None,12,No damage,2,Climb,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,1,No damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,Engine Shut Down,1,Caused damage,2,Climb,None,Large,Some Cloud,Y,0,Yes
"(1000, 2000]",2 to 10,None,1,No damage,2,Approach,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,1,No damage,2,Landing Roll,None,Small,Overcast,N,0,No
"(100, 200]",2 to 10,None,1,No damage,2,Approach,Rain,Medium,Some Cloud,N,0,No
"(-1, 0]",2 to 10,Other,1,Caused damage,2,Landing Roll,None,Large,No Cloud,N,2,No
"(30, 50]",2 to 10,None,1,No damage,2,Approach,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,1,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,Yes
"(100, 200]",2 to 10,None,1,No damage,2,Approach,None,Medium,No Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,1,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No
"(600, 1000]",2 to 10,Precautionary Landing,1,No damage,,Climb,Rain,Medium,Some Cloud,Y,0,No
"(1000, 2000]",2 to 10,None,1,No damage,2,Climb,None,Medium,No Cloud,Y,0,Yes
"(50, 100]",2 to 10,None,1,No damage,2,Approach,Rain,Medium,Overcast,Y,0,Yes
"(50, 100]",2 to 10,None,1,No damage,4,Approach,None,Small,Some Cloud,Y,0,No
"(30, 50]",2 to 10,None,1,No damage,2,Approach,None,Small,No Cloud,Y,0,Yes
"(200, 400]",2 to 10,None,1,No damage,,Approach,None,Medium,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,1,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(100, 200]",2 to 10,None,2,No damage,2,Approach,None,Small,Overcast,N,0,No
"(0, 10]",2 to 10,None,2,Caused damage,2,Approach,None,Medium,No Cloud,Y,0,No
"(50, 100]",2 to 10,None,2,No damage,2,Approach,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,2,No damage,,Take-off run,None,Medium,No Cloud,Y,0,No
"(50, 100]",2 to 10,None,2,No damage,2,Approach,None,Medium,No Cloud,Y,0,Yes
"(600, 1000]",2 to 10,None,2,Caused damage,1,Climb,None,Large,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,2,No damage,2,Take-off run,None,Small,Overcast,Y,0,No
"(-1, 0]",2 to 10,None,2,No damage,2,Landing Roll,Snow,Small,Overcast,Y,0,No
"(-1, 0]",2 to 10,None,2,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(200, 400]",2 to 10,None,2,No damage,2,Approach,Fog,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,2,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(200, 400]",2 to 10,None,2,Caused damage,2,Approach,Fog,Large,Some Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,3,No damage,2,Landing Roll,Rain,Small,Overcast,Y,0,Yes
"(1000, 2000]",2 to 10,Precautionary Landing,3,No damage,,Approach,None,Medium,No Cloud,Y,0,No
"(100, 200]",2 to 10,None,3,No damage,2,Approach,None,Small,No Cloud,Y,0,Yes
"(5000, 18000]",2 to 10,Precautionary Landing,3,Caused damage,2,Climb,Rain,Medium,Some Cloud,Y,0,Yes
"(600, 1000]",2 to 10,None,3,Caused damage,4,Climb,None,Medium,No Cloud,Y,0,No
"(-1, 0]",2 to 10,Precautionary Landing,3,Caused damage,2,Take-off run,None,Medium,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,3,No damage,2,Take-off run,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,3,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No
"(1000, 2000]",2 to 10,None,3,No damage,2,Climb,None,Medium,Overcast,N,0,Yes
"(1000, 2000]",2 to 10,None,3,Caused damage,2,Approach,None,Large,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,3,Caused damage,2,Landing Roll,Rain,Large,Overcast,N,0,No
"(600, 1000]",2 to 10,None,3,Caused damage,2,Approach,None,Medium,Some Cloud,Y,0,No
"(100, 200]",2 to 10,None,3,No damage,2,Climb,None,Medium,No Cloud,N,0,No
"(1000, 2000]",2 to 10,None,3,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,None,3,No damage,2,Approach,Rain,Large,Overcast,N,0,No
"(50, 100]",2 to 10,None,4,No damage,2,Approach,None,Small,Overcast,Y,0,Yes
"(-1, 0]",2 to 10,Precautionary Landing,4,Caused damage,2,Take-off run,Rain,Medium,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,4,No damage,2,Landing Roll,None,Medium,No Cloud,Y,0,No
"(10, 30]",2 to 10,None,4,No damage,2,Approach,Rain,Medium,Overcast,N,0,Yes
"(100, 200]",2 to 10,None,4,No damage,2,Approach,None,Medium,No Cloud,N,0,No
"(30, 50]",2 to 10,None,4,No damage,2,Approach,None,Small,Some Cloud,N,0,No
